Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Buyer_Aggression,Avg_Trade_Size,Taker_Price_Premium,EMA_9,EMA_21,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATRr_14,Return_Lag_1,Return_Lag_2,Return_Lag_3,Rolling_Vol_14,Hour,DayOfWeek,Target
2019-11-10 13:00:00,8841.96,8848.35,8790.56,8812.2,1371.737959,2019-11-10 13:59:59.999,12096326.42704062,17762,657.788398,5801334.67787849,0.479529194103172,0.07722880075441955,7.254243214683811,8825.080636302466,8819.978518214959,47.68546363674962,-1.0580424985000718,6.446806394503392,-7.504848893003464,45.55251547624513,0.0013251018459685682,-0.0019983746251635015,0.0027473804113136158,0.0030919001516067166,13.0,6.0,1
2019-11-10 14:00:00,8811.37,8833.66,8783.5,8830.63,1182.833423,2019-11-10 14:59:59.999,10423890.8770926,16547,597.860879,5269534.14610505,0.5054480769436289,0.0714832551519913,-16.649471755650666,8826.190509041973,8820.946834740871,51.07998081736288,-0.3208920283268526,5.747165491741289,-6.068057520068142,45.88162151365618,-0.0032812250811821153,0.0013251018459685682,-0.0019983746251635015,0.0029091720394092864,14.0,6.0,0
2019-11-10 15:00:00,8830.7,8833.63,8793.5,8800.64,1222.549571,2019-11-10 15:59:59.999,10773848.72081376,15410,595.57405,5248556.13127557,0.48715738333034847,0.07933481966255679,11.960433607828236,8821.08040723358,8819.100758855337,45.864782988476364,-2.1320602693213004,3.148797800597473,-5.280858069918773,45.470791405537824,0.0020914187149632113,-0.0032812250811821153,0.0013251018459685682,0.0030845167358432507,15.0,6.0,1
2019-11-10 21:00:00,9033.0,9050.0,9023.0,9041.86,953.041805,2019-11-10 21:59:59.999,8611325.15095069,18074,387.058075,3497484.76116284,0.40612916764968143,0.05272998810445944,-5.787671156738725,8981.202621953842,8914.103924570101,69.84116489995355,56.166058259563215,24.824561206631937,31.341497052931278,57.90209120633363,-0.0016898220547750809,0.0011407416258943925,0.00010844306738966303,0.007054091286819633,21.0,6.0,1
2019-11-10 22:00:00,9041.86,9099.0,9039.11,9082.34,1094.89132,2019-11-10 22:59:59.999,9927671.59396167,16901,529.290094,4799095.31719674,0.4834179286397119,0.06478263534702089,-15.298368956853665,9001.430097563074,8929.398113245546,72.90819675868612,61.935398930463634,24.475121502025885,37.46027742843775,58.04408469159547,0.0009808480017714505,-0.0016898220547750809,0.0011407416258943925,0.006971470784337584,22.0,6.0,0
2019-11-11 00:00:00,9040.16,9057.34,9027.0,9042.97,1166.44255,2019-11-11 00:59:59.999,10550354.83829689,13084,543.887928,4920034.19240752,0.46627922481051465,0.08915030189544482,3.0741188676656748,9015.824462440369,8948.819680368219,65.64474233926666,62.20785799427176,15.818926111476522,46.38893188279524,57.001481188161414,-0.004720149212647962,0.004476954962806312,0.0009808480017714505,0.0071942980816458975,0.0,0.0,1
2019-11-11 02:00:00,9063.67,9072.32,9040.55,9054.03,866.010053,2019-11-11 02:59:59.999,7844140.79746394,10224,367.260046,3326400.35855967,0.42408288994769905,0.08470364368153364,3.313413172882065,9030.970455961837,8967.798330882824,65.80920597127408,62.172546995116136,9.972381655744286,52.20016533937185,53.40765469795552,0.002185122808104012,0.00038719084194105413,-0.004720149212647962,0.0071603171329009075,2.0,0.0,0
2019-11-11 03:00:00,9054.03,9054.07,9003.88,9019.57,1306.844338,2019-11-11 03:59:59.999,11798913.08526091,15459,704.075196,6357104.22764177,0.5387598013987799,0.08453614968626691,9.443184611278411,9028.69036476947,8972.504846257112,59.66426410409218,58.082758275106244,4.706074348587514,53.37668392651873,53.177822219530164,-0.0009599756364803147,0.002185122808104012,0.00038719084194105413,0.007189849512862278,3.0,0.0,0
2019-11-11 04:00:00,9019.78,9035.64,8926.7,8939.9,3101.909729,2019-11-11 04:59:59.999,27818001.41758741,22258,1403.689425,12588776.69179721,0.45252426654354133,0.13936156568424835,28.44902905762865,9010.932291815578,8969.540769324647,48.40971960861955,47.86115448278906,-4.412423554983739,52.2735780377728,57.16083491813506,-0.003806039962315211,-0.0009599756364803147,0.002185122808104012,0.007716076706438927,4.0,0.0,0
2019-11-11 05:00:00,8939.45,8956.39,8850.0,8900.08,2910.875821,2019-11-11 05:59:59.999,25910336.19361049,21591,1267.489504,11284841.9617426,0.4354323516159365,0.1348189440507619,3.222099251624968,8988.761833452463,8963.226153931497,43.94761201835415,36.13082496478819,-12.914202458387692,49.04502742317588,60.677203852553944,-0.008833015321129456,-0.003806039962315211,-0.0009599756364803147,0.0077664738747407775,5.0,0.0,0
